age_calBP	d18OcarbVPDB	d18OcarbVint	d18Ocarbivc
135000	-7.18	-7.18	-7.58
135100	-7.26	-7.26	-7.68
135200	-7.04	-7.04	-7.48
135300	-7.18	-7.18	-7.64
135400	-7.17	-7.17	-7.65
135500	-7.21	-7.21	-7.71
135600	-7.29	-7.29	-7.81
135700	-7.22	-7.22	-7.75
135800	-7.16	-7.16	-7.71
135900	-7.12	-7.12	-7.69
136000	-7.12	-7.12	-7.70
136100	-7.20	-7.20	-7.80
136200	-7.08	-7.08	-7.69
136300	-7.04	-7.04	-7.66
136400	-7.28	-7.28	-7.92
136500	-7.05	-7.05	-7.70
136600	-7.02	-7.02	-7.68
136700	-6.99	-6.99	-7.67
136800	-7.04	-7.04	-7.73
136900	-7.12	-7.12	-7.83
137000	-7.17	-7.17	-7.89
137100	-7.01	-7.01	-7.75
137200	-7.03	-7.03	-7.79
137300	-7.18	-7.18	-7.96
137400	-7.28	-7.28	-8.08
137500	-7.28	-7.28	-8.10
137600	-7.32	-7.32	-8.16
137700	-7.21	-7.21	-8.07
137800	-7.17	-7.17	-8.05
137900	-7.16	-7.16	-8.06
138000	-7.16	-7.16	-8.08
138100	-6.91	-6.91	-7.85
138200	-7.05	-7.05	-8.01
138300	-7.30	-7.30	-8.27
138400	-7.21	-7.21	-8.20
138500	-7.26	-7.26	-8.26
138600	-7.14	-7.14	-8.15
138700	-7.16	-7.16	-8.18
138800	-7.14	-7.14	-8.17
138900	-7.22	-7.22	-8.26
139000	-7.14	-7.14	-8.18
139100	-7.07	-7.07	-8.12
139200	-7.40	-7.40	-8.46
139300	-7.39	-7.39	-8.45
139400	-7.40	-7.40	-8.47
139500	-7.54	-7.54	-8.61
139600	-7.70	-7.70	-8.77
139700	-7.78	-7.78	-8.86
139800	-7.14	-7.14	-8.22
139900	-7.48	-7.48	-8.56
140000	-7.48	-7.48	-8.56
140100	-7.47	-7.47	-8.56
140200	-7.52	-7.52	-8.61
140300	-7.74	-7.74	-8.83
140400	-7.83	-7.83	-8.92
140500	-7.83	-7.83	-8.92
140600	-7.50	-7.50	-8.59
140700	-7.58	-7.58	-8.67
140800	-7.68	-7.68	-8.76
140900	-7.63	-7.63	-8.71
141000	-7.62	-7.62	-8.70
141100	-7.68	-7.68	-8.76
141200	-7.65	-7.65	-8.73
141300	-7.82	-7.82	-8.89
141400	-7.67	-7.67	-8.74
141500	-7.64	-7.64	-8.71
141600	-7.81	-7.81	-8.87
141700	-7.73	-7.73	-8.79
141800	-7.67	-7.67	-8.73
141900	-7.79	-7.79	-8.84
142000	-7.99	-7.99	-9.04
142100	-7.84	-7.84	-8.88
142200	-7.60	-7.60	-8.64
142300	-7.74	-7.74	-8.77
142400	-7.94	-7.94	-8.97
142500	-7.64	-7.64	-8.66
142600	-7.81	-7.81	-8.82
142700	-7.68	-7.68	-8.69
142800	-7.70	-7.70	-8.70
142900	-7.55	-7.55	-8.55
143000	-7.75	-7.75	-8.74
143100	-7.79	-7.79	-8.78
143200	-7.97	-7.97	-8.96
143300	-7.94	-7.94	-8.92
143400	-8.02	-8.02	-9.00
143500	-7.94	-7.94	-8.92
143600	-7.97	-7.97	-8.95
143700	-8.03	-8.03	-9.01
143800	-7.96	-7.96	-8.93
143900	-7.96	-7.96	-8.93
144000	-7.90	-7.90	-8.87
144100	-7.94	-7.94	-8.91
144200	-7.95	-7.95	-8.92
144300	-8.03	-8.03	-8.99
144400	-7.95	-7.95	-8.91
144500	-8.11	-8.11	-9.07
144600	-7.98	-7.98	-8.93
144700	-7.94	-7.94	-8.89
144800	-7.94	-7.94	-8.88
144900	-7.94	-7.94	-8.88
145000	-7.81	-7.81	-8.75
145100	-7.94	-7.94	-8.87
145200	-8.03	-8.03	-8.96
145300	-8.00	-8.00	-8.92
145400	-8.22	-8.22	-9.14
145500	-8.40	-8.40	-9.32
145600	-8.51	-8.51	-9.42
145700	-8.26	-8.26	-9.17
145800	-8.22	-8.22	-9.13
145900	-7.93	-7.93	-8.84
146000	-8.20	-8.20	-9.10
146100	-8.25	-8.25	-9.15
146200	-8.26	-8.26	-9.16
146300	-8.04	-8.04	-8.94
146400	-999	-8.13	-9.02
146500	-8.21	-8.21	-9.10
146600	-8.08	-8.08	-8.97
146700	-8.01	-8.01	-8.90
146800	-7.86	-7.86	-8.74
146900	-8.46	-8.46	-9.34
147000	-8.04	-8.04	-8.92
147100	-8.21	-8.21	-9.09
147200	-7.84	-7.84	-8.72
147300	-8.26	-8.26	-9.14
147400	-8.05	-8.05	-8.93
147500	-7.90	-7.90	-8.78
147600	-7.81	-7.81	-8.69
147700	-7.99	-7.99	-8.87
147800	-8.05	-8.05	-8.93
147900	-7.81	-7.81	-8.69
148000	-8.04	-8.04	-8.92
148100	-8.02	-8.02	-8.90
148200	-7.86	-7.86	-8.74
148300	-8.08	-8.08	-8.96
148400	-8.04	-8.04	-8.92
148500	-8.05	-8.05	-8.93
148600	-7.79	-7.79	-8.67
148700	-8.07	-8.07	-8.95
148800	-8.01	-8.01	-8.89
148900	-8.09	-8.09	-8.97
149000	-7.90	-7.90	-8.78
149100	-8.10	-8.10	-8.99
149200	-8.11	-8.11	-9.00
149300	-8.09	-8.09	-8.98
149400	-7.98	-7.98	-8.87
149500	-7.94	-7.94	-8.84
149600	-7.99	-7.99	-8.89
149700	-8.05	-8.05	-8.95
149800	-7.93	-7.93	-8.84
149900	-8.10	-8.10	-9.01
150000	-7.85	-7.85	-8.77
150100	-8.12	-8.12	-9.04
150200	-7.88	-7.88	-8.81
150300	-7.67	-7.67	-8.60
150400	-7.81	-7.81	-8.75
150500	-7.62	-7.62	-8.56
150600	-7.52	-7.52	-8.47
150700	-7.46	-7.46	-8.41
150800	-7.56	-7.56	-8.52
150900	-7.67	-7.67	-8.63
151000	-7.57	-7.57	-8.54
151100	-7.70	-7.70	-8.67
151200	-7.75	-7.75	-8.73
151300	-7.81	-7.81	-8.79
151400	-7.56	-7.56	-8.55
151500	-7.90	-7.90	-8.89
151600	-7.73	-7.73	-8.72
151700	-7.65	-7.65	-8.64
151800	-7.85	-7.85	-8.85
151900	-8.09	-8.09	-9.09
152000	-8.07	-8.07	-9.07
152100	-7.98	-7.98	-8.99
152200	-7.88	-7.88	-8.89
152300	-7.68	-7.68	-8.69
152400	-7.82	-7.82	-8.83
152500	-7.93	-7.93	-8.94
