age,temp
25800,-3.7059919571045574
25900,-3.7529088471849863
26000,-3.7998257372654156
26100,-3.844610027855153
26200,-3.887785515320334
26300,-3.9309610027855153
26400,-3.974136490250696
26500,-4.0173119777158774
26600,-4.060487465181058
26700,-4.103662952646239
26800,-4.152172011661808
26900,-4.20902332361516
27000,-4.265874635568513
27100,-4.322725947521866
27200,-4.3795772594752185
27300,-4.436428571428571
27400,-4.493279883381923
27500,-4.50359133126935
27600,-4.472631578947368
27700,-4.441671826625387
27800,-4.410712074303405
27900,-4.3797523219814245
28000,-4.348792569659443
28100,-4.315851063829787
28200,-4.2565805471124625
28300,-4.197310030395137
28400,-4.138039513677811
28500,-4.078768996960487
28600,-4.019498480243161
28700,-3.960227963525836
28800,-3.920768115942029
28900,-3.901927536231884
29000,-3.883086956521739
29100,-3.864246376811594
29200,-3.8454057971014493
29300,-3.826565217391304
29400,-3.8077246376811593
29500,-3.803241758241758
29600,-3.8087362637362636
29700,-3.814230769230769
29800,-3.8197252747252746
29900,-3.82521978021978
30000,-3.8307142857142855
30100,-3.836208791208791
30200,-3.8685902503293805
30300,-3.960816864295125
30400,-4.05304347826087
30500,-4.145270092226614
30600,-4.237496706192358
30700,-4.329723320158103
30800,-4.421949934123847
30900,-4.5141765480895915
31000,-4.613583441138422
31100,-4.715782664941785
31200,-4.817981888745149
31300,-4.920181112548512
31400,-5.022380336351876
31500,-5.124579560155239
31600,-5.226778783958603
31700,-5.328978007761966
31800,-5.419514170040486
31900,-5.509932523616734
32000,-5.600350877192983
32100,-5.690769230769231
32200,-5.781187584345479
32300,-5.871605937921728
32400,-5.9620242914979755
32500,-6.034218289085546
32600,-6.093215339233039
32700,-6.152212389380531
32800,-6.211209439528024
32900,-6.270206489675516
33000,-6.329203539823009
33100,-6.388200589970502
33200,-6.377570093457944
33300,-6.349532710280374
33400,-6.321495327102804
33500,-6.293457943925234
33600,-6.265420560747663
33700,-6.237383177570093
33800,-6.178885245901639
33900,-6.070688524590164
34000,-5.962491803278688
34100,-5.854295081967213
34200,-5.746098360655737
34300,-5.637901639344262
34400,-5.538954248366013
34500,-5.463790849673202
34600,-5.388627450980392
34700,-5.313464052287581
34800,-5.238300653594771
34900,-5.163137254901961
35000,-5.091183144246353
35100,-5.036077795786062
35200,-4.98097244732577
35300,-4.925867098865478
35400,-4.870761750405186
35500,-4.815656401944894
35600,-4.760551053484603
35700,-4.753793103448276
35800,-4.747523510971787
35900,-4.741253918495298
36000,-4.734984326018808
36100,-4.728714733542319
36200,-4.722445141065831
36300,-4.759587020648968
36400,-4.824483775811209
36500,-4.889380530973451
36600,-4.954277286135693
36700,-5.019174041297935
36800,-5.0840707964601775
36900,-5.148967551622419
37000,-5.233936781609196
37100,-5.32301724137931
37200,-5.412097701149426
37300,-5.50117816091954
37400,-5.590258620689656
37500,-5.67933908045977
37600,-5.7684195402298855
37700,-5.897669064748202
37800,-6.032920863309353
37900,-6.1681726618705035
38000,-6.303424460431654
38100,-6.438676258992806
38200,-6.573928057553957
38300,-6.7091798561151075
38400,-6.803761194029851
38500,-6.894805970149253
38600,-6.985850746268657
38700,-7.076895522388059
38800,-7.167940298507463
38900,-7.258985074626866
39000,-7.327818181818182
39100,-7.317900826446281
39200,-7.30798347107438
39300,-7.298066115702479
39400,-7.288148760330579
39500,-7.278231404958677
39600,-7.265595854922279
39700,-7.2396891191709845
39800,-7.213782383419689
39900,-7.187875647668394
40000,-7.161968911917098
40100,-7.136062176165803
40200,-7.072841726618705
40300,-6.948741007194244
40400,-6.8246402877697845
40500,-6.700539568345324
40600,-6.576438848920863
40700,-6.452338129496402
40800,-6.373771428571429
40900,-6.3052
41000,-6.236628571428572
41100,-6.168057142857143
41200,-6.099485714285715
41300,-6.035243902439024
41400,-5.974268292682927
41500,-5.913292682926829
41600,-5.852317073170731
41700,-5.791341463414634
41800,-5.7097435897435895
41900,-5.617041420118343
42000,-5.524339250493096
42100,-5.43163708086785
42200,-5.338934911242603
42300,-5.277360594795539
42400,-5.238327137546468
42500,-5.199293680297398
42600,-5.160260223048327
42700,-5.121226765799256
42800,-5.10421143847487
42900,-5.17526863084922
43000,-5.24632582322357
43100,-5.31738301559792
43200,-5.388440207972271
43300,-5.459497400346621
43400,-5.555317324185249
43500,-5.683962264150943
43600,-5.812607204116638
43700,-5.941252144082333
43800,-6.069897084048027
43900,-6.198542024013722
44000,-6.34948717948718
44100,-6.515299145299145
44200,-6.681111111111111
44300,-6.846923076923077
44400,-7.012735042735042
44500,-7.1785470085470084
44600,-7.260747028862479
44700,-7.315076400679117
44800,-7.369405772495756
44900,-7.423735144312394
45000,-7.478064516129033
45100,-7.532393887945671
45200,-7.576689419795222
45300,-7.619351535836177
45400,-7.662013651877134
45500,-7.704675767918089
45600,-7.7473378839590445
45700,-7.79
45800,-7.820821917808219
45900,-7.851643835616438
46000,-7.882465753424658
46100,-7.913287671232877
46200,-7.944109589041096
46300,-7.977487001733102
46400,-8.024280762564992
46500,-8.07107452339688
46600,-8.11786828422877
46700,-8.164662045060659
46800,-8.211455805892548
46900,-8.248771626297579
47000,-8.271262975778546
47100,-8.293754325259515
47200,-8.316245674740484
47300,-8.338737024221453
47400,-8.36122837370242
47500,-8.375341506129596
47600,-8.384098073555165
47700,-8.392854640980735
47800,-8.401611208406305
47900,-8.410367775831874
48000,-8.419124343257444
48100,-8.447224199288256
48200,-8.477473309608541
48300,-8.507722419928825
48400,-8.537971530249111
48500,-8.568220640569395
48600,-8.589490909090909
48700,-8.587672727272727
